time,linear_x,angular_z
1778486530480179313,0.10999999999999999,0.0
1778486530580978435,0.10999999999999999,0.0
1778486530681670961,0.10999999999999999,0.0
1778486530782453099,0.10999999999999999,0.0
1778486530883057981,0.10999999999999999,0.0
1778486530983775163,0.10999999999999999,0.0
1778486531084432153,0.10999999999999999,0.0
1778486531185041629,0.10999999999999999,0.0
1778486531285738235,0.10999999999999999,0.0
1778486531386451302,0.10999999999999999,0.0
1778486531486907900,0.10999999999999999,0.0
1778486531587630527,0.10999999999999999,0.0
1778486531688363677,0.10999999999999999,0.0
1778486531788938987,0.10999999999999999,0.0
1778486531889687670,0.10999999999999999,0.0
1778486531990244514,0.10999999999999999,0.0
1778486532090955982,0.10999999999999999,0.0
1778486532191741851,0.10999999999999999,0.0
1778486532292327158,0.10999999999999999,0.0
1778486532392898928,0.10999999999999999,0.0
1778486532493638392,0.10999999999999999,0.0
1778486532594202223,0.10999999999999999,0.0
1778486532694424620,0.10999999999999999,0.0
1778486532795088442,0.10999999999999999,0.0
1778486532895321784,0.10999999999999999,0.0
1778486532996056807,0.10999999999999999,0.0
1778486533096888614,0.10999999999999999,0.0
1778486533197443875,0.10999999999999999,0.0
1778486533298112023,0.10999999999999999,0.0
1778486533398692255,0.10999999999999999,0.0
1778486533499301216,0.10999999999999999,0.0
1778486533599873081,0.10999999999999999,0.0
1778486533700539670,0.10999999999999999,0.0
1778486533801133840,0.10999999999999999,0.0
1778486533901165325,0.10999999999999999,0.0
1778486534002017447,0.10999999999999999,0.0
1778486534102671324,0.10999999999999999,0.0
1778486534203304734,0.10999999999999999,0.0
1778486534303971362,0.10999999999999999,0.0
1778486534404664932,0.10999999999999999,0.0
1778486534505330647,0.10999999999999999,0.0
1778486534605988731,0.10999999999999999,0.0
1778486534706631214,0.10999999999999999,0.0
1778486534807305711,0.10999999999999999,0.0
1778486534907904853,0.10999999999999999,0.0
1778486535008620499,0.10999999999999999,0.0
1778486535109193264,0.10999999999999999,0.0
1778486535209725656,0.10999999999999999,0.0
1778486535310542161,0.10999999999999999,0.0
1778486535411349995,0.10999999999999999,0.0
1778486535511815947,0.10999999999999999,0.0
1778486535612551332,0.10999999999999999,0.0
1778486535713362372,0.10999999999999999,0.0
1778486535814026481,0.10999999999999999,0.0
1778486535914707666,0.10999999999999999,0.0
1778486536015389317,0.10999999999999999,0.0
1778486536116020725,0.10999999999999999,0.0
1778486536216633892,0.10999999999999999,0.0
1778486536317262995,0.10999999999999999,0.0
1778486536417867290,0.10999999999999999,0.0
1778486536518589913,0.10999999999999999,0.0
1778486536619332618,0.10999999999999999,0.0
1778486536719863523,0.10999999999999999,0.0
1778486536820585122,0.10999999999999999,0.0
1778486536921219579,0.10999999999999999,0.0
1778486537021862179,0.10999999999999999,0.0
1778486537122566903,0.10999999999999999,0.0
1778486537223184913,0.10999999999999999,0.0
1778486537323871281,0.10999999999999999,0.0
1778486537424585807,0.10999999999999999,0.0
1778486537525164914,0.10999999999999999,0.0
1778486537625812354,0.10999999999999999,0.0
1778486537726675081,0.10999999999999999,0.0
1778486537827264626,0.10999999999999999,0.0
1778486537927399788,0.10999999999999999,0.0
1778486538027725154,0.10999999999999999,0.0
1778486538128031012,0.10999999999999999,0.0
1778486538228273220,0.10999999999999999,0.0
1778486538328632860,0.10999999999999999,0.0
1778486538428865887,0.10999999999999999,0.0
1778486538529696420,0.10999999999999999,0.0
1778486538630276567,0.10999999999999999,0.0
1778486538731089625,0.10999999999999999,0.0
1778486538831683085,0.10999999999999999,0.0
1778486538932255925,0.10999999999999999,0.0
1778486539033042533,0.10999999999999999,0.0
1778486539133592872,0.10999999999999999,0.0
1778486539234271942,0.10999999999999999,0.0
1778486539334980222,0.10999999999999999,0.0
1778486539435635533,0.10999999999999999,0.0
1778486539536447409,0.10999999999999999,0.0
1778486539637025729,0.10999999999999999,0.0
1778486539737566046,0.10999999999999999,0.0
1778486539838159478,0.10999999999999999,0.0
1778486539938365408,0.10999999999999999,0.0
1778486540038987678,0.10999999999999999,0.0
1778486540139893219,0.10999999999999999,0.0
1778486540240620440,0.10999999999999999,0.0
1778486540341025495,0.10999999999999999,0.0
1778486540441765696,0.10999999999999999,0.0
1778486540542499075,0.10999999999999999,0.0
1778486540643002214,0.10999999999999999,0.0
1778486540743752281,0.10999999999999999,0.0
1778486540844360044,0.10999999999999999,0.0
1778486540944898836,0.10999999999999999,0.0
1778486541045519502,0.10999999999999999,0.0
1778486541146202662,0.10999999999999999,0.0
1778486541246809088,0.10999999999999999,0.0
1778486541347423384,0.10999999999999999,0.0
1778486541448198372,0.10999999999999999,0.0
1778486541548714553,0.10999999999999999,0.0
1778486541649473611,0.10999999999999999,0.0
1778486541750208719,0.10999999999999999,0.0
